iteracion, tot_iter, rss_train, rss_val, grad_norm, lr, tiempo
74,200, 1.304867, 1.304938, 1.370045 ,0.000000, 4.794275
75,200, 1.304867, 1.304938, 1.443162 ,0.000000, 4.860933
76,200, 1.304867, 1.304938, 1.505626 ,0.000000, 4.925711
77,200, 1.304867, 1.304938, 2.474706 ,0.000000, 4.990357
78,200, 1.304867, 1.304938, 1.457202 ,0.000000, 5.055334
79,200, 1.304867, 1.304938, 2.543229 ,0.000000, 5.120166
80,200, 1.304867, 1.304938, 1.513781 ,0.000000, 5.184612
81,200, 1.304867, 1.304938, 2.270730 ,0.000000, 5.248754
82,200, 1.304867, 1.304938, 1.680125 ,0.000000, 5.312944
83,200, 1.304867, 1.304938, 2.006070 ,0.000000, 5.378963
84,200, 1.304867, 1.304938, 1.694625 ,0.000000, 5.444665
85,200, 1.304867, 1.304938, 1.855354 ,0.000000, 5.510665
86,200, 1.304867, 1.304938, 1.891498 ,0.000000, 5.574711
87,200, 1.304867, 1.304938, 1.620762 ,0.000000, 5.638834
88,200, 1.304867, 1.304938, 1.938859 ,0.000000, 5.703545
89,200, 1.304867, 1.304938, 2.455638 ,0.000000, 5.767724
90,200, 1.304867, 1.304938, 1.914218 ,0.000000, 5.832010
91,200, 1.304867, 1.304937, 1.985224 ,0.000000, 5.896269
92,200, 1.304867, 1.304937, 1.489731 ,0.000000, 5.960431
93,200, 1.304867, 1.304937, 1.954709 ,0.000000, 6.025961
94,200, 1.304867, 1.304937, 1.358610 ,0.000000, 6.093616
95,200, 1.304867, 1.304937, 2.096700 ,0.000000, 6.158678
96,200, 1.304867, 1.304937, 1.336712 ,0.000000, 6.223228
97,200, 1.304867, 1.304937, 2.353142 ,0.000000, 6.287629
98,200, 1.304867, 1.304937, 2.166023 ,0.000000, 6.352846
99,200, 1.304867, 1.304937, 1.547165 ,0.000000, 6.419162
100,200, 1.304867, 1.304937, 1.671367 ,0.000000, 6.483809
101,200, 1.304867, 1.304937, 1.222279 ,0.000000, 6.548733
102,200, 1.304867, 1.304937, 1.390144 ,0.000000, 6.614653
103,200, 1.304867, 1.304937, 1.624959 ,0.000000, 6.681583
104,200, 1.304866, 1.304937, 2.202079 ,0.000000, 6.746164
105,200, 1.304866, 1.304937, 2.050910 ,0.000000, 6.810729
106,200, 1.304866, 1.304937, 1.048893 ,0.000000, 6.876011
107,200, 1.304866, 1.304937, 1.898324 ,0.000000, 6.940695
108,200, 1.304866, 1.304937, 1.814969 ,0.000000, 7.007513
109,200, 1.304866, 1.304937, 2.022955 ,0.000000, 7.073203
110,200, 1.304866, 1.304937, 3.098699 ,0.000000, 7.138337
111,200, 1.304866, 1.304937, 1.872907 ,0.000000, 7.204160
112,200, 1.304866, 1.304937, 2.087942 ,0.000000, 7.269784
113,200, 1.304866, 1.304937, 1.962420 ,0.000000, 7.334547
114,200, 1.304866, 1.304937, 1.872220 ,0.000000, 7.401297
115,200, 1.304866, 1.304937, 1.930895 ,0.000000, 7.465556
116,200, 1.304866, 1.304937, 2.005527 ,0.000000, 7.530984
117,200, 1.304866, 1.304937, 1.807354 ,0.000000, 7.596987
118,200, 1.304866, 1.304937, 2.144110 ,0.000000, 7.662921
119,200, 1.304866, 1.304937, 2.060793 ,0.000000, 7.727703
120,200, 1.304866, 1.304937, 1.330450 ,0.000000, 7.792477
121,200, 1.304866, 1.304937, 1.735025 ,0.000000, 7.858432
122,200, 1.304866, 1.304937, 1.688408 ,0.000000, 7.928977
123,200, 1.304866, 1.304937, 2.291110 ,0.000000, 7.993181
124,200, 1.304866, 1.304937, 1.860568 ,0.000000, 8.058904
125,200, 1.304866, 1.304936, 1.667598 ,0.000000, 8.125265
126,200, 1.304866, 1.304936, 2.177848 ,0.000000, 8.192317
127,200, 1.304866, 1.304936, 1.922893 ,0.000000, 8.258856
128,200, 1.304866, 1.304936, 1.741669 ,0.000000, 8.325406
129,200, 1.304866, 1.304936, 2.444246 ,0.000000, 8.391548
130,200, 1.304866, 1.304936, 2.002469 ,0.000000, 8.458534
131,200, 1.304866, 1.304936, 1.706871 ,0.000000, 8.524894
132,200, 1.304866, 1.304936, 2.781615 ,0.000000, 8.591401
133,200, 1.304866, 1.304936, 1.279541 ,0.000000, 8.656634
134,200, 1.304866, 1.304936, 1.383932 ,0.000000, 8.722859
